date,open,high,low,close,volume,Name,Daily_Return,Month,Year,MA50,MA200
2013-02-08,67.7142,68.4014,66.8928,67.8542,158168416,AAPL,,2,2013,,
2013-02-11,68.0714,69.2771,67.6071,68.5614,129029425,AAPL,0.010422346737563704,2,2013,,
2013-02-12,68.5014,68.9114,66.8205,66.8428,151829363,AAPL,-0.02506658265438,2,2013,,
2013-02-13,66.7442,67.6628,66.1742,66.7156,118721995,AAPL,-0.001902972347059051,2,2013,,
2013-02-14,66.3599,67.3771,66.2885,66.6556,88809154,AAPL,-0.0008993398845246192,2,2013,,
2013-02-15,66.9785,67.1656,65.7028,65.7371,97924631,AAPL,-0.013779787444715974,2,2013,,
2013-02-19,65.8714,66.1042,64.8356,65.7128,108854046,AAPL,-0.0003696542743747422,2,2013,,
2013-02-20,65.3842,65.3842,64.1142,64.1214,118891367,AAPL,-0.02421750404791767,2,2013,,
2013-02-21,63.7142,64.1671,63.2599,63.7228,111596821,AAPL,-0.006216333392595863,2,2013,,
2013-02-22,64.1785,64.5142,63.7999,64.4014,82583823,AAPL,0.010649249562166174,2,2013,,
2013-02-25,64.8356,65.0171,63.2242,63.2571,92899597,AAPL,-0.017768247274127513,2,2013,,
2013-02-26,63.4028,64.5056,62.5228,64.1385,125096657,AAPL,0.01393361377616098,2,2013,,
2013-02-27,64.0614,64.6342,62.9499,63.5099,146674682,AAPL,-0.009800665746782178,2,2013,,
2013-02-28,63.4357,63.9814,63.0571,63.0571,80532382,AAPL,-0.007129597117929709,2,2013,,
2013-03-01,62.5714,62.5971,61.4257,61.4957,137899041,AAPL,-0.02476168425125802,3,2013,,
2013-03-04,61.1142,61.1714,59.8571,60.0071,145406366,AAPL,-0.02420657054070441,3,2013,,
2013-03-05,60.2114,62.1699,60.1071,61.5919,159298020,AAPL,0.02641020812537187,3,2013,,
2013-03-06,62.0728,62.1785,60.6328,60.8088,114903180,AAPL,-0.012714334190047749,3,2013,,
2013-03-07,60.6428,61.7157,60.1514,61.5117,116992841,AAPL,0.01155918222362562,3,2013,,
2013-03-08,61.3999,62.2042,61.2299,61.6742,97854442,AAPL,0.0026417738413992975,3,2013,,
2013-03-11,61.3928,62.7157,60.7342,62.5528,118272126,AAPL,0.014245827266506916,3,2013,,
2013-03-12,62.2285,62.6971,61.0814,61.2042,116268341,AAPL,-0.02155938663017476,3,2013,,
2013-03-13,61.2071,62.0714,60.7657,61.1928,101369051,AAPL,-0.00018626172713642752,3,2013,,
2013-03-14,61.8328,62.0914,61.4928,61.7857,75834906,AAPL,0.009689048384777355,3,2013,,
2013-03-15,62.5614,63.4614,62.4642,63.3799,160710606,AAPL,0.025802086890655884,3,2013,,
2013-03-18,63.0642,65.3514,63.0285,65.1028,150441144,AAPL,0.027183697039597776,3,2013,,
2013-03-19,65.6428,65.8528,64.0714,64.9271,131531708,AAPL,-0.002698808653391338,3,2013,,
2013-03-20,65.3456,65.3756,64.2271,64.5828,77016849,AAPL,-0.005302870450089259,3,2013,,
2013-03-21,64.3171,65.4256,64.2999,64.6756,95493524,AAPL,0.001436915091943991,3,2013,,
2013-03-22,64.9399,66.0142,64.7299,65.9871,98570591,AAPL,0.020278126526850793,3,2013,,
2013-03-25,66.3842,67.1356,65.9685,66.2256,125073165,AAPL,0.003614342803366144,3,2013,,
2013-03-26,66.4914,66.5485,65.7899,65.8765,73428208,AAPL,-0.005271375419777402,3,2013,,
2013-03-27,65.2085,65.2571,64.3899,64.5828,81854409,AAPL,-0.019638262506356363,3,2013,,
2013-03-28,64.2599,64.5455,63.0885,63.2371,110698007,AAPL,-0.020836817233071514,3,2013,,
2013-04-01,63.1285,63.3854,61.1057,61.2728,97294421,AAPL,-0.031062461751092396,4,2013,,
2013-04-02,61.0857,62.5914,60.9142,61.3988,132350022,AAPL,0.002056377381154606,4,2013,,
2013-04-03,61.6242,62.4685,61.4728,61.7128,90719482,AAPL,0.005114106464621404,4,2013,,
2013-04-04,61.9657,62.1428,60.7499,61.1028,89589332,AAPL,-0.009884497219377453,4,2013,,
2013-04-05,60.6428,60.7071,59.9542,60.4571,95743088,AAPL,-0.010567437171455363,4,2013,,
2013-04-08,60.6928,61.0714,60.3557,60.8871,75169647,AAPL,0.007112481412439475,4,2013,,
2013-04-09,60.9085,61.2142,60.3928,60.9971,76615504,AAPL,0.0018066224208412862,4,2013,,
2013-04-10,61.1571,62.4371,60.8585,62.2414,93895844,AAPL,0.020399330459972553,4,2013,,
2013-04-11,61.9599,62.5699,61.5999,62.0471,82073628,AAPL,-0.0031217164138338527,4,2013,,
2013-04-12,62.0214,62.0214,61.2985,61.3999,59651011,AAPL,-0.010430785645098584,4,2013,,
2013-04-15,60.9999,61.1271,59.9357,59.9785,79157071,AAPL,-0.023149874836929762,4,2013,,
2013-04-16,60.2242,60.9442,60.0814,60.8914,76222076,AAPL,0.015220453996015237,4,2013,,
2013-04-17,60.0385,60.0857,56.8728,57.5428,236138966,AAPL,-0.05499298751547832,4,2013,,
2013-04-18,57.8557,57.9699,55.6774,56.0071,166438048,AAPL,-0.02668796096123227,4,2013,,
2013-04-19,55.4242,57.0857,55.0142,55.7899,152194413,AAPL,-0.0038780797434611047,4,2013,,
2013-04-22,56.0914,57.4571,55.8964,56.9528,107338322,AAPL,0.020844274680542618,4,2013,62.747386,
2013-04-23,57.7128,58.3401,56.9728,58.0185,160760747,AAPL,0.018711986065654385,4,2013,62.55067199999999,
2013-04-24,56.2199,59.3214,56.0714,57.9231,242387530,AAPL,-0.0016443031102149064,4,2013,62.337906000000004,
2013-04-25,58.7464,59.1342,58.1428,58.3399,95984896,AAPL,0.007195747465173596,4,2013,62.16784799999999,
2013-04-26,58.5442,59.8241,58.3214,59.6007,191006032,AAPL,0.021611281472885713,4,2013,62.025549999999996,
2013-04-29,60.0642,61.9452,59.9999,61.4457,159958876,AAPL,0.03095601226160083,4,2013,61.921352,
2013-04-30,62.1571,63.6071,61.7242,63.2542,172737600,AAPL,0.029432490800820776,4,2013,61.871694,
2013-05-01,63.4942,63.5614,62.0557,62.7557,126720237,AAPL,-0.007880899608247338,5,2013,61.812552000000004,
2013-05-02,63.1114,64.0842,62.9471,63.6457,105449078,AAPL,0.014181978688788455,5,2013,61.80303800000001,
2013-05-03,64.4728,64.7471,64.1642,64.2828,90319201,AAPL,0.010010102803488685,5,2013,61.814238,
2013-05-06,65.1014,66.0285,64.9014,65.8156,124017747,AAPL,0.023844636512410977,5,2013,61.842522,
2013-05-07,66.4242,66.5356,64.8142,65.5225,120499960,AAPL,-0.004453351485058432,5,2013,61.88783,
2013-05-08,65.5771,66.4814,65.1156,66.2628,118010781,AAPL,0.011298408943492877,5,2013,61.930316000000005,
2013-05-09,65.6871,66.1428,65.0828,65.2528,99555337,AAPL,-0.015242338084113682,5,2013,61.965174000000005,
2013-05-10,65.4242,65.6728,64.3542,64.7099,83631828,AAPL,-0.008319949488757361,5,2013,61.99823000000001,
2013-05-13,64.5014,65.4142,64.4999,64.9628,79220953,AAPL,0.003908211881025858,5,2013,62.067572,
2013-05-14,64.8356,65.0285,63.1642,63.4085,111647130,AAPL,-0.023926000726569696,5,2013,62.1356,
2013-05-15,62.7371,62.9999,60.3371,61.2642,185278968,AAPL,-0.03381723270539427,5,2013,62.129045999999995,
2013-05-16,60.4628,62.5499,59.8428,62.0825,150794546,AAPL,0.013356903379134977,5,2013,62.15451999999999,
2013-05-17,62.7214,62.8699,61.5728,61.8942,106973181,AAPL,-0.003033060846454383,5,2013,62.16217,
2013-05-20,61.7014,63.6857,61.4428,63.2757,112681030,AAPL,0.02232034665606797,5,2013,62.1942,
2013-05-21,62.5928,63.6399,62.0285,62.8085,113921367,AAPL,-0.007383561145905881,5,2013,62.199313999999994,
2013-05-22,63.4357,64.0499,62.6028,63.0505,110727309,AAPL,0.003852981682415546,5,2013,62.236239999999995,
2013-05-23,62.2785,63.7371,62.2557,63.1628,88244695,AAPL,0.0017811119658051044,5,2013,62.27564,
2013-05-24,62.9785,63.6657,62.9085,63.5928,69036716,AAPL,0.006807804593843114,5,2013,62.311782,
2013-05-28,64.2714,64.4442,62.9785,63.0627,96404189,AAPL,-0.008335849341434831,5,2013,62.305438,
2013-05-29,62.8571,63.9285,62.7714,63.5642,82641944,AAPL,0.007952402925976765,5,2013,62.274665999999996,
2013-05-30,63.6642,64.9285,63.5014,64.5114,88379522,AAPL,0.014901469695205671,5,2013,62.266352000000005,
2013-05-31,64.6428,65.2999,64.2142,64.2478,95832240,AAPL,-0.004086099511094066,5,2013,62.259651999999996,
2013-06-03,64.3899,64.6228,63.2114,64.3885,92926932,AAPL,0.0021899582553799313,6,2013,62.25391,
2013-06-04,64.7456,64.9185,63.9128,64.1871,72860221,AAPL,-0.0031278877439293584,6,2013,62.21791,
2013-06-05,63.6642,64.3885,63.3871,63.5871,72545760,AAPL,-0.009347672663198692,6,2013,62.16514,
2013-06-06,63.6385,63.8571,62.0071,62.6371,104230322,AAPL,-0.014940137229092154,6,2013,62.100352,
2013-06-07,62.3571,63.3199,61.8242,63.1158,101120551,AAPL,0.007642435553370186,6,2013,62.071012,
2013-06-10,63.5328,64.1541,62.3999,62.6985,112522179,AAPL,-0.006611656669169963,6,2013,62.06024,
2013-06-11,62.2485,63.2514,61.9028,62.5142,71526560,AAPL,-0.0029394642615054867,6,2013,62.085068,
2013-06-12,62.7857,63.0357,61.6428,61.7414,66295887,AAPL,-0.01236199135556404,6,2013,62.09192,
2013-06-13,61.7857,62.4485,61.2499,62.2807,71456693,AAPL,0.008734819748175582,6,2013,62.103278,
2013-06-14,62.1999,62.3271,61.2142,61.4357,67962419,AAPL,-0.013567606015988942,6,2013,62.109936,
2013-06-17,61.6342,62.2428,61.4802,61.7142,64818670,AAPL,0.004533194868781454,6,2013,62.135078,
2013-06-18,61.6514,62.1285,61.4585,61.6814,48753768,AAPL,-0.0005314822196512692,6,2013,62.150964,
2013-06-19,61.6285,61.6657,60.4285,60.4285,77715057,AAPL,-0.020312444270071617,6,2013,62.139592,
2013-06-20,59.8999,60.8542,59.3099,59.5482,89327210,AAPL,-0.014567629512564406,6,2013,62.085727999999996,
2013-06-21,59.7842,59.9999,58.3,59.0714,120286768,AAPL,-0.008006959068452169,6,2013,62.026214,
2013-06-24,58.1999,58.3799,56.8642,57.5057,120104964,AAPL,-0.026505212336257467,6,2013,61.94833,
2013-06-25,57.9571,58.2557,56.9757,57.5185,78534687,AAPL,0.00022258663054275374,6,2013,61.89912999999999,
2013-06-26,57.6999,57.8271,56.5228,56.8671,91924994,AAPL,-0.011325051939810704,6,2013,61.81864399999999,
2013-06-27,57.0357,57.3414,56.2199,56.2542,84297955,AAPL,-0.01077776077907966,6,2013,61.79287200000001,
2013-06-28,55.9085,57.1814,55.5528,56.6471,144619734,AAPL,0.00698436738945718,6,2013,61.805671999999994,
2013-07-01,57.5271,58.8957,57.3171,58.4599,97743408,AAPL,0.03200163821272395,7,2013,61.859072000000005,
2013-07-02,58.5657,60.2328,58.4957,59.7842,117442150,AAPL,0.022653134883911852,7,2013,61.91570000000001,
2013-07-03,60.1228,60.4257,59.6357,60.1142,60232158,AAPL,0.005519853071547232,7,2013,61.95761400000001,
2013-07-05,60.0557,60.4699,59.3357,59.6314,68505794,AAPL,-0.008031380272880528,7,2013,61.99178,
2013-07-08,60.0157,60.1428,58.6642,59.2928,74521398,AAPL,-0.005678216510093703,7,2013,62.01083800000001,
2013-07-09,59.0857,60.4999,58.6257,60.3357,88142026,AAPL,0.017588982136111042,7,2013,62.025538000000005,
2013-07-10,59.9428,60.6857,59.7499,60.1042,70107226,AAPL,-0.003836866067684741,7,2013,61.99870799999999,
2013-07-11,60.4214,61.1785,60.1671,61.0411,81571665,AAPL,0.015587928963366915,7,2013,61.954446,
2013-07-12,61.0928,61.3985,60.4871,60.9299,69882694,AAPL,-0.0018217233962034562,7,2013,61.91793,
2013-07-15,60.7157,61.6371,60.6857,61.0628,60478033,AAPL,0.0021811951111030403,7,2013,61.866272,
2013-07-16,60.9314,61.5299,60.5957,61.4564,54033805,AAPL,0.006445822988791816,7,2013,61.809744,
2013-07-17,61.3857,61.7457,61.1742,61.4728,49743169,AAPL,0.0002668558522789244,7,2013,61.722888000000005,
2013-07-18,61.9114,62.1242,61.5157,61.6797,54696012,AAPL,0.0033657162192057832,7,2013,61.646032,
2013-07-19,61.8714,61.9971,60.6214,60.7071,67174828,AAPL,-0.015768559185599162,7,2013,61.534918,
2013-07-22,61.3514,61.3928,60.7811,60.9014,51946202,AAPL,0.003200614096209531,7,2013,61.44789,
2013-07-23,60.8571,60.9942,59.8157,59.8557,91062300,AAPL,-0.017170377035667594,7,2013,61.350806000000006,
2013-07-24,62.7042,63.5128,62.1799,62.9299,147978789,AAPL,0.05136018791861097,7,2013,61.310148,
2013-07-25,62.9571,63.0571,62.2585,62.6428,57371671,AAPL,-0.004562219231239895,7,2013,61.294834,
2013-07-26,62.1857,63.0057,62.0485,62.9985,50031170,AAPL,0.005678226388347918,7,2013,61.32952,
2013-07-29,62.9714,64.2842,62.8857,63.9699,62021344,AAPL,0.015419414747970261,7,2013,61.367268,
2013-07-30,64.2799,65.3071,64.1757,64.7599,77257432,AAPL,0.01234955815156824,7,2013,61.424582,
2013-07-31,64.9985,65.3346,64.2042,64.6471,80637830,AAPL,-0.0017418186254148926,7,2013,61.452009999999994,
2013-08-01,65.1075,65.2571,64.7514,65.2394,51461179,AAPL,0.009162050579221814,8,2013,61.500628000000006,
2013-08-02,65.4299,66.1214,65.2371,66.0771,68467077,AAPL,0.012840400126304052,8,2013,61.56116,
2013-08-05,66.3842,67.2385,66.0214,67.0642,79589930,AAPL,0.014938609593944108,8,2013,61.639188,
2013-08-06,66.8599,67.4128,66.0242,66.4642,83715443,AAPL,-0.008946651119375093,8,2013,61.69661599999999,
2013-08-07,66.2571,66.7142,65.9671,66.4256,74663176,AAPL,-0.0005807637795987031,8,2013,61.763873999999994,
2013-08-08,66.2649,66.2999,65.4214,65.8585,63946841,AAPL,-0.008537371134020533,8,2013,61.809760000000004,
2013-08-09,65.5199,65.7799,64.8071,64.9214,66772986,AAPL,-0.014228990942702913,8,2013,61.81795999999999,
2013-08-12,65.2656,66.9499,65.2328,66.7656,91008477,AAPL,0.02840665789708785,8,2013,61.86831600000001,
2013-08-13,67.2771,70.6656,66.8642,69.9385,219634975,AAPL,0.04752297590375876,8,2013,61.97931600000001,
2013-08-14,71.1256,72.0356,70.4856,71.2142,188602792,AAPL,0.01824031113049318,8,2013,62.119858,
2013-08-15,70.9171,71.7712,69.869,71.1299,122441893,AAPL,-0.001183752678538763,8,2013,62.270714,
2013-08-16,71.4499,71.8485,71.2656,71.7614,90461889,AAPL,0.008878122983442704,8,2013,62.453199999999995,
2013-08-19,72.0485,73.3914,71.9999,72.5342,127478547,AAPL,0.01076902067128005,8,2013,62.641568,
2013-08-20,72.8156,72.9385,71.5456,71.5814,89531771,AAPL,-0.013135872457406217,8,2013,62.819226,
2013-08-21,71.9414,72.4499,71.5999,71.7656,83809726,AAPL,0.0025732941797729225,8,2013,63.004254,
2013-08-22,72.1399,72.2271,71.1714,71.8514,60877852,AAPL,0.0011955588750041102,8,2013,63.206454,
2013-08-23,71.8956,71.9071,71.3356,71.5742,55587686,AAPL,-0.0038579624057428763,8,2013,63.39232400000001,
2013-08-26,71.5356,72.8856,71.4999,71.8528,82398085,AAPL,0.0038924640443063208,8,2013,63.600666000000004,
2013-08-27,71.1428,71.7871,69.4714,69.7985,105930335,AAPL,-0.028590395920548684,8,2013,63.762352,
2013-08-28,69.4285,70.8285,69.4285,70.1279,76793066,AAPL,0.004719299125339305,8,2013,63.931282,
